17-AAG AEW541 AZD0530 AZD6244 Erlotinib Irinotecan L-685458 LBW242 Lapatinib Nilotinib Nutlin-3 PD-0325901 PD-0332991 PF2341066 PHA-665752 PLX4720 Paclitaxel Panobinostat RAF265 Sorafenib TAE684 TKI258 Topotecan ZD-6474
HEL9217_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE 2.2799 0.7872 0.5733 0.6032 0.4473 NA 0.0872 0.5083 0.1414 0.3645 0.4619 0.592 0.07361 0.1365 0.2805 0.09693 5.1205 4.6644 0.9991 0.3034 0.6456 0.6331 2.99 0.6026
HEC265_ENDOMETRIUM 4.6862 0.1955 0.1751 0.07603 0 3.2408 0.06052 0.8957 0.4616 0.5323 0.1335 0.1312 0.07914 0.7284 0.5421 0.215 5.8464 4.4044 2.5085 0.852 0.4049 0.8078 2.7943 0.5306
CAL12T_LUNG 3.5 2.0875 1.8817 1.2348 1.7747 NA NA 1.1054 1.4973 NA 0.6988 2.2204 NA 1.1889 1.5377 0.5977 4.9761 4.1571 NA 0.6577 2.8724 1.5021 1.9431 2.5282
HCC1954_BREAST 4.5797 0.8125 1.6338 0.9032 0.8402 NA 0.09828 0.5034 2.0762 0.5581 0.2675 1.6269 1.2174 0.493 0.2587 0.02614 5.6339 3.7483 1.2052 0.4548 0.5027 0.2642 1.2184 1.3526
CAMA1_BREAST 3.1786 0.4276 0.1606 0.06316 0.003827 3.1566 0.5617 0.7152 0.146 0.4371 0.07149 0.238 0.2178 0.1829 0.3651 0.07136 4.3906 5.0138 0.8191 0.1544 0.1146 0.494 1.0891 0.3685
HEC6_ENDOMETRIUM 2.4531 0.8225 0.7863 0.3154 0.7348 3.6618 0.7208 0.7948 1.1782 1.4706 0.9376 1.1049 1.186 0.7721 1.6126 0.9701 4.1261 5.0758 1.5241 1.2738 1.1543 0.8098 3.0713 3.339
KMS11_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE 5.4708 3.2272 0.3816 1.1922 0.2748 3.367 0.9272 0.9629 1.0317 2.0814 1.1197 1.1908 1.8915 1.1346 1.3851 0.5022 7.4167 5.3877 2.4387 2.1886 3.1159 2.8555 2.9832 2.0596
KP4_PANCREAS 4.4144 1.0599 0.4543 1.0904 0.21 3.2093 0.7225 0.1999 0.212 0.3059 0 1.7523 0.5408 1.9426 0.6425 0.1093 6.5694 3.9219 1.5502 0.691 1.1314 0.9038 2.3036 0.7623
KE39_STOMACH 2.8221 1.5188 0.4174 0.3826 1.0481 NA 0.06147 0.3899 1.1427 0.5221 0.4792 1.0631 0.5574 0.3858 0.3528 0 4.0212 3.8736 1.2418 0.4823 1.1325 0.6301 1.9144 1.2628
COV504_OVARY 2.0498 0.5949 0.6355 0.1949 0.258 NA 0.2596 0.3845 0 0.1649 0.01026 0.9822 0 0.2841 0 0.1145 3.7749 3.29 1.4015 0.09018 1.1179 0.4967 1.1671 0.7451
KE97_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE 3.6685 0.6478 1.0054 0.4438 0.8743 5.0752 0.876 0.4415 0.233 0.2995 0.9093 0.4468 0.6872 0.7684 0.4237 0.828 7.3811 5.6306 2.7114 0.6616 1.5231 1.8613 5.4387 1.3015
VMRCRCW_KIDNEY 0.4375 2.4276 1.4463 0.03365 0.194 2.9569 0.1883 1.3674 1.3765 0.8637 0.1633 0 0.09552 1.7715 0.8209 0.01988 1.0722 5.963 0.4277 0.9115 1.284 0.9487 0.233 1.8442
HGC27_STOMACH 3.6359 1.0097 0.801 0.08234 0.2264 1.955 0.7627 0.151 0.3305 0.7505 0.176 0 1.3939 1.0484 0.05354 0.2173 6.2021 4.4176 1.6065 0.4772 2.0106 1.5571 2.186 1.5656
LUDLU1_LUNG 3.2861 1.9451 1.1566 1.1293 1.5519 NA 0.1339 0.9741 1.8359 0.8515 1.0448 1.5501 0.6779 0.5817 0.1069 0.1109 5.9003 4.4987 1.674 0.6557 1.7285 1.0585 3.9514 1.5094
NUGC4_STOMACH 4.9358 1.0295 2.712 3.634 2.6443 NA 0.2719 0.09055 2.9416 0.8153 0.7802 4.7079 1.2862 1.7116 1.2881 0 6.0989 5.8552 0.6769 0.3093 0.3712 0.7171 3.955 2.6187
CAS1_CENTRAL_NERVOUS_SYSTEM 2.1995 0.6584 0.6927 0.103 0.08698 2.2248 0.01432 0.07697 0.02975 0.207 0.01784 0.586 0.1407 0.6175 0 0.06697 4.0347 3.6763 0.7917 0.06255 1.0183 0.3645 1.728 0.2382
KMM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE 3.5771 1.8889 0.7628 2.0524 0.2421 3.531 1.3131 0.3667 1.158 1.5839 0.3706 2.3543 0.9088 0.9584 1.5408 0.1556 6.5537 5.5777 1.0642 1.6069 2.7704 0.6123 3.6748 0.834
NCIH1694_LUNG 1.4558 0.8491 0.3515 0.333 0.1312 4.3177 0.6287 1.0089 0.5385 0.308 0.2616 0.3607 0.1648 0.3931 0.1112 0.1221 4.6718 5.0687 1.1519 0.1786 0.1368 0.4787 4.8522 0.7705
P3HR1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE 2.5398 0.6726 0.3172 0.1024 0 NA 0.1234 0.9634 0.005816 0.12 0.1132 0.2984 0.5391 0.05595 0.5316 0 5.7467 4.2803 0.01284 0.2461 0.04795 0.3664 3.0622 1.4536
HUT78_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE 3.4997 1.68 1.2907 4.2205 0.7256 NA 0.7216 2.1283 0.7425 1.4199 1.0177 5.1608 0.6579 1.9154 1.2301 0.109 6.5788 6.2215 1.7692 0.7262 1.8444 1.1536 4.0129 1.5493
HOS_BONE 3.4429 0.5479 0.1945 0.3858 0.2068 3.5016 0.2133 0.5549 0.7597 0.4549 0.7641 1.1514 0.7598 0.7702 1.1388 0.1291 6.143 4.5348 1.3312 0.06738 0.6085 0.369 2.6696 1.05
NCIH1184_LUNG 3.0332 0.6452 0 1.0545 0.67 4.533 0.7164 1.0691 0.2531 0 0.3264 0.351 0.5989 0.3619 0.2403 0.136 4.6431 5.3657 0.4474 0.4186 0.3275 0.3037 4.1958 0.2687
TC71_BONE 1.9739 0.425 0.02867 0.01673 0 3.5768 0 0.1439 0 0 0.05201 0 0 0.6631 0 0.04168 6.8648 4.6377 0.2494 0.007735 0.5449 0.8521 3.7927 0.3741
COLO205_LARGE_INTESTINE 5.7504 1.5025 0.4195 4.57 0.6326 NA 0.8434 0.6715 0.1875 0.6001 0.9422 5.6956 0.9274 1.3255 0.5538 3.1984 7.0778 4.8613 2.1484 1.204 2.9966 0.9085 4.4189 1.0471
SNU449_LIVER 1.5499 0.8843 0.6314 0.2108 0.3379 1.6665 0 0.4588 0.1797 0.278 0.4246 0.7212 0 0.2711 0.05912 0.3743 1.808 3.3569 0.8266 0.5036 0.3874 0.2176 1.3044 1.1332
JHOS4_OVARY 1.6599 1.549 1.733 0.6264 0.9895 NA 0.4816 2.5589 1.0099 1.2189 0.7082 0.6151 0 0.7615 0.495 0.2998 5.2994 3.1822 1.1065 0.2538 1.3722 1.098 2.2804 1.9067
KYSE450_OESOPHAGUS 2.76 0.5514 1.4272 1.2877 1.4667 NA 0.7975 0.3005 1.3231 NA 0.353 1.4853 NA 0.3047 0.3495 0.3734 5.5189 3.3199 NA 0.09899 0.5987 0.5079 2.1403 1.8158
KLE_ENDOMETRIUM 1.7971 0.5976 1.5831 0.406 0.7291 1.9354 0.1714 0.7563 0.6419 0.5632 0.9586 1.1681 0.7329 0.7625 0.7342 0.3276 2.7287 4.3321 1.1131 0.6244 0.3371 0.898 1.4401 1.6344
HS895T_SKIN 3.0948 0.6128 0.3408 0.4916 0.4755 NA 0.374 0.7315 0.3417 1.1133 0.0221 1.2316 1.2294 0.7383 0.1965 1.198 2.9045 3.8108 2.7976 0.911 1.7504 2.1269 1.1193 0.9044
LN229_CENTRAL_NERVOUS_SYSTEM 4.0027 1.2309 0.9273 1.1769 0.4374 NA 0.343 0.2781 0.3739 0.7352 0.8821 1.6776 0.6559 0.8152 0.161 0.1665 5.688 3.9247 1.5223 0.4278 1.6332 0.9104 1.7406 1.0302
P31FUJ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE 2.6454 0.7637 0.07896 3.4009 0.8033 3.9479 1.0578 0.6745 0.3472 0.4948 0.5038 4.5666 0.4643 1.3834 1.3855 0.3729 5.4592 6.1262 3.1639 1.1751 1.5481 1.3363 3.9765 0.4324
SF126_CENTRAL_NERVOUS_SYSTEM 2.7719 0.9526 0.5959 0.2737 0.07066 3.7926 0.05543 0.2755 0.3474 0.5877 0.08125 1.0433 0.4761 0.4382 0 0.2292 4.6195 4.1631 1.8753 0.5917 1.3627 1.4397 4.3635 0.5404
SNGM_ENDOMETRIUM 3.6265 0.497 1.0556 1.1646 0.7714 2.0173 0.8261 0.4892 0.5455 0.3269 0.4692 1.1151 0.1502 0.2154 0.6993 0.2797 5.7321 3.9169 2.4101 0.4755 0.5714 0.8186 2.5829 1.8526
SW1990_PANCREAS 3.9558 1.0457 1.3081 1.5884 0.5871 NA 0.02302 0.1944 0.8197 0.7679 1.2615 2.9671 0.3129 1.0859 0.06233 0.6876 4.7138 3.6605 1.7576 0.06581 1.7119 0.8337 4.2077 0.6381
TOLEDO_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE 1.2479 0.6413 0.002277 0.05558 0.01286 NA 0 0.02943 0.02839 0 0 0.283 0.3478 0.03364 0.01955 0 2.3948 4.2588 0.09724 0.02052 0 0.09438 4.0031 0.2589
RERFGC1B_STOMACH 1.4162 1.5338 2.1467 1.7254 0.4351 NA 0.03254 0.1773 0.717 0.08913 0.2647 1.5846 0.01805 0.3046 0.3157 0.5411 4.5754 4.1861 0.4918 0.1891 0.9959 0.7177 3.4388 2.0009
HT1080_SOFT_TISSUE 4.0847 0.6785 0.1531 1.8734 0.02918 NA 0.1955 0.9264 0.2133 NA 0.4817 2.4808 0.03595 0.8244 0.2556 0.07934 6.7248 4.6286 1.7451 0.1179 0.5672 0.5673 3.3672 0.6356
NCIH2087_LUNG 3.0497 0.7475 0.7401 3.0122 0.4709 NA 0.2508 0.1451 0.3981 0.8483 0.4068 4.1166 0.6578 0.423 0.3437 0.7931 5.5116 3.572 1.5063 1.0198 1.1913 0.9215 4.0293 0.8015
COV318_OVARY 1.9673 0.7664 0.7234 0.07562 0.05132 2.342 0.107 0.2282 0 0.5619 0.3907 0.02419 0.2948 0.4279 0.04829 0.5288 2.8757 3.6326 0.848 0.2473 1.4239 0.9151 2.0789 1.206
NCIH1341_LUNG 5.2972 1.8219 1.1726 0.4363 1.1779 3.7968 0.09673 1.3409 0.6303 0.05606 0.2892 0.1421 0.343 1.3442 0.5645 0.03845 6.0169 4.6373 1.632 0.6177 2.2016 1.3166 2.9384 1.0918
C3A_LIVER 5.2974 1.5387 0.7807 1.5726 0.4533 NA 0.555 1.3568 0.5676 NA 0.4562 2.4419 0.4059 0.5101 0.7496 0.4982 2.9957 5.2321 1.1223 0.7144 1.0644 0.2617 2.6169 1.4222
SW480_LARGE_INTESTINE 2.2298 1.4152 0.1153 2.2851 0.2869 2.3517 0.0563 0.07069 0.2645 0.09498 0.6109 3.2477 0.1182 0.3502 0 0.08871 3.6134 3.7592 1.3007 0.3728 0.995 0.9111 2.9514 0.5891
HS746T_STOMACH 3.5069 0.845 1.7904 1.5266 0.3248 NA 0.7244 0.7589 0.5103 0.8844 1.6156 2.6193 0.6801 3.4785 1.221 0.2152 5.1829 4.7462 2.2018 0.2575 0.8022 0.7003 3.0074 0.7248
HS739T_BREAST 2.0852 0.6611 1.6143 0.3088 0.2265 2.0158 0.4653 0.2796 0.2569 0.5616 0.7555 1.4601 0.77 1.0025 0.2776 0.3302 3.9177 3.1432 1.6582 0.8671 2.1115 1.4499 2.2844 0.6129
SNUC2A_LARGE_INTESTINE 2.7511 0.8231 1.326 1.3236 0.4618 NA 0 1.2177 0.2618 0.1011 0.542 1.8779 0.4366 0.5398 0.3268 0.05934 3.9497 3.2683 0.8695 0.6656 1.3696 0.272 2.2119 0.8732
HEC151_ENDOMETRIUM 3.7984 0.2402 1.6659 3.233 2.2608 2.922 0.7341 0.5978 1.59 0.6752 0.1366 3.6687 0.6006 0.5081 0.9897 0 6.3134 5.4317 2.8886 0.7036 1.695 1.06 3.6883 2.1857
MSTO211H_PLEURA 3.6676 0.5041 0.7174 1.2301 0.3184 NA 0.08544 0.8363 0.3716 0.5277 1.0383 2.492 0.7796 0.8487 0.3346 0.8892 5.3017 4.4962 2.1076 0.7464 1.6265 1.7164 3.1705 1.103
RAJI_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE 1.9767 0.4082 0.0146 0.2204 0.218 NA 0.3786 0.0443 0.3515 0.3417 0.5263 0.5314 0.2033 0.02249 0.4254 0.121 6.0218 4.1707 0.5103 0.03069 0.1373 0.3131 3.4747 0.8993
JHH7_LIVER 4.2024 1.6698 0.6958 1.5053 0.6282 NA NA 0.9234 0.9747 NA 0.8485 2.2898 NA 0.7837 1.4814 0.8328 6.0801 4.4785 NA 1.0576 2.3994 1.8163 3.2097 1.6495
NCIH1573_LUNG 3.9417 1.463 1.3679 2.263 1.4163 NA 0.08039 0.3017 1.6056 0.7619 1.1259 2.844 1.0384 0.8412 0.4783 0.547 4.4458 4.0278 1.2461 0.3309 1.1256 0.6435 1.2867 0.5696
NCIH1651_LUNG 2.669 0.8597 0.5989 0.5348 0.2825 NA 0.1886 0.5105 0.6165 0.2314 0.5197 0.4047 0.3582 0.7751 0.2531 0.03442 4.2575 4.0816 0.919 0.2962 0.7857 0.845 2.3495 0.2941
NCIH226_LUNG 2.0162 0.6322 0.2167 0.3049 0 NA 0 0.04654 0 0 0.1363 1.589 0.2601 0.1941 0 0 3.207 2.8671 1.3318 0.5957 0.7534 0.8242 2.248 0.2921
NCIH1666_LUNG 4.712 1.0145 1.2167 3.1254 2.2235 3.2599 0.3766 1.3635 2.1425 0.456 0.4504 3.8767 0.1308 0.806 0.2059 0.2637 4.4421 3.9983 1.8098 0.6144 1.7936 0.5551 2.0451 2.9569
EBC1_LUNG 3.9338 1.2742 0.64 2.6304 0.2728 3.5052 0.1243 0.892 0.6902 0.3761 0.1442 4.3938 1.1729 4.497 1.6816 0.07623 5.7392 4.4037 1.6179 0.3943 1.6407 0.3913 3.8903 0.8671
HS936T_SKIN 3.9897 0.2207 0.1732 2.825 0 1.5988 0.02243 0.3202 0 0.001392 0.2465 3.7454 0.3558 0.2561 0.4376 0.5499 5.0763 5.0778 0.6888 0.1109 0.2688 0.2364 1.5226 1.6372
T47D_BREAST 1.4674 0.924 0.5592 0.6917 0.1791 NA 0.4164 0.9794 0.5727 0.5094 0.4176 0.004786 0.5315 0.3487 0.3123 0.04939 3.3375 4.3607 1.4747 0.427 0.3381 0.4691 1.9885 0.3955
NCIH2023_LUNG 3.4569 1.4571 0.4832 0.3972 0.1764 NA 0.03723 0.296 0.3546 0.612 0.6613 1.0669 0.6846 1.1931 0.6195 0 4.676 3.9486 0.8588 0.006447 1.0811 0.9905 2.1324 0.679
NCIH1048_LUNG 4.7653 0.798 1.2751 0.08808 0.662 4.6028 0.3058 0.1353 0.5777 0.4625 0.1314 0.6409 0.01538 0.7133 0.1776 0.0554 6.7078 4.9662 1.8268 0.6078 1.9009 1.3784 5.3324 1.2426
HT144_SKIN 4.3186 0.8903 0.3266 2.8194 0.5338 2.7864 0.3225 0.4271 0.5575 0.8419 0.5415 4.4659 0.01489 0.6186 0.2313 2.267 4.6768 4.0197 2.8681 0.6104 1.1289 1.11 2.9211 0.8201
DV90_LUNG 4.6153 1.0623 0.7536 3.5067 1.4945 NA 0.6583 4.2899 0.9329 NA 1.2495 4.1181 NA 0.1697 3.0544 0.09542 6.3835 5.597 NA 0.04952 1.0057 1.2647 3.3122 1.2011
ZR751_BREAST 4.4719 1.2285 1.1688 0.7315 1.1717 NA 0.8005 1.0596 0.4156 NA 1.013 1.5942 NA 0.5818 1.1176 0.5641 4.4743 4.6473 0.5897 0.8454 0.6762 0.8432 3.5125 1.1891
KG1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE 2.3487 0.7337 0 1.3541 0.9725 2.8217 0 0.7313 0.5561 0.6361 1.2248 3.2569 0.8043 1.0949 0.6818 0.6241 4.9233 5.646 2.8447 0.8453 2.5558 3.1467 2.984 3.3595
HCC70_BREAST 3.0273 0.6154 0.571 1.2257 0.3408 2.2185 0 0.426 0.6068 0.09364 0.1437 2.1081 0.0002795 0.2158 0.1703 0.05906 5.4912 4.4205 0.7232 0.5751 0.9657 0.6686 2.4964 0.8561
SNU1_STOMACH 4.5573 0.9688 0.6094 1.9704 0.3576 NA 0.3243 0.1107 0.4886 0.566 1.27 3.7711 1.044 0.826 0 0.1584 4.8994 4.0105 1.8226 0.8939 1.4561 1.0972 3.6574 0.3717
HCC56_LARGE_INTESTINE NA 0.6342 1.1856 3.7803 0.2732 1.8327 NA 0.3968 0.4479 0.09552 0.1928 5.0257 0.3011 0.2215 0.3011 0 4.1463 4.3664 0.5951 0.08142 0.8885 0.191 1.5781 0.7121
NCIH1648_LUNG 1.8947 1.078 0.2443 1.076 0.6008 NA 0.3297 1.6655 1.8562 1.4162 0.8649 0.8604 0.9064 0.673 0.1418 0.9942 5.9981 4.1316 2.1058 0.5777 1.1125 0.4882 1.9441 0.817
MG63_BONE 1.3119 1.392 0.5506 0.2346 0.1603 2.8245 0 0.1322 0.1513 0.29 0.2304 0.6005 0.6379 0.4803 0.02981 0.1757 5.9739 3.6454 0.9168 0.3812 2.2176 1.218 3.5973 0.4585
PK1_PANCREAS 4.3709 0.6571 1.1932 1.5048 0.5614 3.4797 0 0.2971 0.7236 0.1723 0.3042 2.5158 0.07151 0.4587 0.0112 0.4061 5.4913 3.7359 1.8609 0.6839 0.8173 0.8821 2.5477 1.4442
HS840T_UPPER_AERODIGESTIVE_TRACT 4.6617 0.5775 0.5852 0.6889 0.3236 2.2389 0.01563 0.4266 0.1638 0.4101 0.3651 1.11 0.9004 1.2078 1.0402 0.186 4.3812 4.6206 2.4224 0.2267 1.7415 1.3392 1.7592 2.0391
NCIH23_LUNG 4.2066 1.3268 0.7626 1.0566 0 NA 0.6998 2.0322 0.4302 0.6261 0.8491 2.1937 0.2654 1.136 0.3608 1.1365 6.5769 4.3584 2.016 0.3285 1.688 1.5173 3.0649 1.2023
TE617T_SOFT_TISSUE 5.1812 1.4793 2.941 2.5837 1.7201 4.4324 0.2427 1.0236 3.4461 1.5507 1.4265 2.7097 1.6558 1.7104 0.9109 0.03409 6.7285 5.0969 2.4682 0.9072 2.1155 1.1019 4.4021 2.4806
SW1088_CENTRAL_NERVOUS_SYSTEM 2.8038 0.09182 0.2863 0 0.1109 NA 0.3489 0.02371 0.7047 0.6276 0 0.03729 0.1536 0.2437 0.03335 0.4742 4.9997 2.9392 1.2931 0.0797 0.5267 0.8459 0.777 0.2384
NCIH1373_LUNG 3.7468 0.5229 0.4326 0.486 0.2836 1.6349 0.1539 0.1114 0.2469 0 0.03238 0.3876 0.001922 0.3264 0.2623 0.4231 3.5616 3.5689 1.3576 0.1644 0.2048 0.3892 1.0589 0.6673
HS229T_LUNG 3.6505 0.1625 0.07466 0.4344 0.00911 NA 0.006384 0.149 0.08038 0 0.09112 0.4783 0.4506 0.02076 1.3842 0.1002 4.0841 4.2832 0.8349 0.1337 0.8478 0.5095 1.1319 0.7905
BL70_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE 3.5976 0.8428 2.0535 0.113 0.3595 4.8923 0.02918 0.3218 0.3646 0.1648 0.1399 0.06714 1.1151 0.9159 0.4072 0.6149 6.5657 5.8478 1.2478 0.1112 0.6416 1.7212 4.5194 1.9715
CI1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE 3.8812 0.6551 0.6352 0.5656 0.4621 4.4997 0.02719 0.06319 0.07477 0.2173 0.7237 0.6039 1.0214 0.8737 0.8997 0.1793 6.7624 4.9845 1.6558 0.3438 1.1676 1.0475 4.9059 2.3858
NCIH1693_LUNG 1.6738 1.1923 1.4733 1.2609 1.42 3.1318 0 0.8193 1.678 0.8682 0.9088 2.3507 1.2313 0.9907 0.636 0.1419 3.8862 4.5178 1.9118 0.4801 1.4694 1.3123 3.0734 1.8628
HS683_CENTRAL_NERVOUS_SYSTEM 4.354 0.7117 1.2891 0.4306 0.07119 2.8785 0.04761 0.3543 0.03881 0.2585 0.2897 0.5807 0.277 1.0135 0.05832 0.1648 5.9641 3.6994 1.1058 0.2025 1.7276 0.7687 3.1158 0.2458
RKO_LARGE_INTESTINE 4.4812 0.8444 0.6394 2.2005 0.06025 3.213 0.2558 0.2353 0.302 0.5761 0.6938 3.2954 0.6835 0.9374 0.47 0.9622 6.6097 4.4547 1.7043 0.8653 1.6675 0.7962 3.5301 0.876
JHOS2_OVARY 1.9626 1.2322 0.4457 1.2776 0.1802 NA 0.5928 1.1132 0.5668 0.5389 0.4878 1.0772 0.03892 0.3298 0.5548 0.6494 4.1841 3.0253 1.0853 0 0.7772 0.7762 2.3488 1.3901
MCF7_BREAST 2.2316 1.7882 0.03456 0.5816 0.3573 1.7724 0.02904 0.2945 0.4242 0.1241 0.06679 0.3616 0.1991 0.502 0 0.5813 3.7399 NA 0.01511 0 1.5781 0.3718 0.9251 0.2155
U937_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE 4.6603 0.8519 0.5793 1.1403 0.5495 3.6217 1.3464 0.2883 0.3857 0.5501 0.2506 1.5143 1.0682 0.5069 0.7796 0.3454 7.4369 5.0159 1.2268 0.7181 0.5798 0.7747 3.5634 0.8458
MEG01_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE 2.6177 0.5139 2.3393 1.6161 0.3546 2.651 0.2157 0.1807 0.4225 4.4689 0.26 3.3323 0.1798 1.5732 0.2072 0.5659 4.1212 4.4477 2.2312 0.1151 0.1 1.4739 2.9957 2.3796
REH_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE 3.0737 0.8788 0.00713 0.04644 0.1718 NA 1.0459 1.5628 0.4909 0.577 0.573 0 0.7898 0.8942 0.4732 0.8706 6.7887 4.9712 NA 0.4783 1.1366 1.3379 4.3275 0.08253
ONS76_CENTRAL_NERVOUS_SYSTEM 1.904 0.2968 0.6145 2.8866 0.06366 2.7183 0.117 0.4631 0.1084 0.1742 0.3121 4.1038 0.3628 0.2558 0.01134 0.1695 NA 3.9079 1.4977 0.9837 0.3495 0.5648 3.336 0.3671
DMS114_LUNG 2.2019 2.3798 0.3061 0.7486 0.4546 NA 0.6133 1.3367 0.2177 0.8476 0.3314 0.4387 0.8691 2.1489 0.8946 0.06617 5.5617 4.5845 1.6543 0.7432 1.8487 1.145 3.1123 1.016
SW1353_BONE 3.1215 0.7213 0.5077 0.9301 0.1981 2.646 0.02045 0.3225 0.3409 0.149 0.5273 1.3756 0.4901 0.6467 0.2262 0.414 5.3868 4.4823 1.5052 0.3081 1.8519 0.8432 2.2859 0.6321
CALU3_LUNG 2.0534 0.561 2.3703 2.3689 1.1767 NA 0.4371 0.5201 2.6066 0.4743 0.4135 1.8058 0.3678 0.4668 0.1975 0.003985 3.2082 4.5124 0.8645 0.5152 1.1636 0.4078 3.0826 1.8192
NCIH2009_LUNG 3.6954 0.6894 1.094 1.9691 0.6598 2.9776 0.1486 0.2909 0.3635 0.237 0.06515 2.6131 0.09706 0.5123 1.1969 0.4112 4.9461 5.2809 1.5606 0 1.2731 0.9052 2.1728 1.504
HCC4006_LUNG 3.4326 0.8118 2.3879 0.1997 3.7373 2.5662 0.6167 0.2142 1.8224 0.7678 0.1393 1.7547 0.6659 0.531 0 0.08633 5.8944 3.8515 1.8457 0.3675 1.5185 0.6712 1.7052 3.0689
KU812_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE 3.8223 0.3537 3.0717 3.3419 0.5995 2.7764 0 0.9883 0.5306 5.016 0.1017 4.5708 0.7817 1.7159 0.3105 0.1505 7.1048 4.7085 2.0601 0 0 1.5403 3.1619 3.12
SHP77_LUNG 3.0618 0.1697 0.2412 0.2575 0.2221 1.4702 0.1699 0.4285 0.2586 0.2396 0.252 0.6498 0 0.604 0 0.1171 3.8193 4.1427 0.4491 0.04803 0.5531 0.576 0.7999 0.4023
PFEIFFER_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE 3.259 0.7562 1.7467 0.2601 1.171 NA 0 0.5354 0.35 0.5337 0.2595 0.8899 0.6917 1.1214 0.8396 0.484 7.1858 5.5938 3.2177 0.06782 1.406 1.5483 4.1862 2.6843
ZR7530_BREAST 2.3161 0.1118 0 0.04301 0.03998 1.6931 0 0.2425 3.0902 0.3953 0.08222 0 0.06974 0.04209 0.2342 0.02117 2.1929 4.2563 1.5955 0.7984 0.3207 1.1268 0.02054 0.4616
NCIH1944_LUNG 4.244 0.2859 0.4428 1.3191 0.3705 NA 0.24 0.339 0.2708 0 0 1.4783 0.319 0 0.5487 0.03804 4.4533 3.797 0.3902 0.04412 0.1488 0.1312 1.7644 1.6975
DEL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE 5.2371 1.2612 1.4715 1.4402 0.473 5.873 2.1438 0.9751 1.0422 1.2823 0.8865 1.3118 1.6378 3.7305 2.3361 1.2475 7.3422 5.957 2.3549 1.989 5.9893 1.3471 5.916 2.052
COLO320_LARGE_INTESTINE 2.8034 2.0584 0.4243 0.02962 0.6266 2.9318 0.1274 0.1362 0.5138 0.8088 0.0876 0.01305 0.846 0.7197 0.2699 0.2642 3.9828 4.3094 2.8689 0.7374 2.7318 1.1074 2.5752 0.8505
RPMI8402_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE 3.1359 1.8775 1.0333 0.6701 0.6156 5.2731 0.9611 0.8364 1.2147 1.0203 1.1439 0.4658 2.1229 1.1405 0.5896 0.2035 6.4498 5.8744 1.9536 1.1083 2.4255 1.8524 5.2886 0.9664
P12ICHIKAWA_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE 2.6965 1.1795 0.3353 1.7805 0.7472 5.5533 1.3994 0.5791 0.7179 0.8608 0.7109 2.4864 1.6728 1.0946 0.7028 0.5583 6.9777 5.9228 2.289 1.325 2.3245 1.9616 5.2524 0.77
BFTC909_KIDNEY 3.6219 0.898 0.2464 0.3552 0.04175 NA 0.1492 0.4923 0.1757 0.00241 0.01861 0.8653 0.2396 0.4398 0.1644 0.1107 5.1868 4.0883 0.6164 NA 0.6489 1.2289 3.1375 0.8398
MHHES1_BONE 4.5868 2.06 3.6528 3.026 1.1808 5.3433 2.1037 0.9377 1.9384 2.5759 1.5578 5.2407 2.1537 1.7637 1.8206 0.9013 7.2501 4.5822 3.2481 1.8656 3.4513 1.2846 6.0318 1.6642
JVM3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE 5.1094 1.0059 1.5103 3.1872 1.8084 5.795 1.8714 1.2389 1.2129 1.8695 3.1439 3.4643 2.6673 1.5846 0.8275 1.7807 7.5086 5.7298 4.4472 1.21 2.3725 2.8261 5.7118 2.893
NCIH727_LUNG 2.1313 1.3035 1.0985 1.7299 0.3191 1.357 0.6485 0.2611 0.5375 0.5898 0.4471 2.9449 0.315 1.1206 0.1742 0.1817 1.9411 2.9172 0.4526 0.2139 1.3735 0.29 0.2574 1.3125
KCL22_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE 4.7185 0.8817 3.2752 3.1959 0.6935 4.4124 1.3594 1.2877 0.9807 5.6277 0.644 3.6923 1.2449 2.7737 1.9724 0.3954 7.0551 5.8635 2.4167 1.6803 2.1484 1.5281 4.5702 2.5777
